vacancy_name,area_name,salary_from,salary_to,url,experience
Аналитик,Москва,120000,,https://hh.ru/vacancy/84691661,between3And6
Системный аналитик,Брянск,33000,,https://hh.ru/vacancy/79905904,between1And3
Аналитик,Москва,95000,,https://hh.ru/vacancy/83629288,between1And3
Аналитик медиаданных,Санкт-Петербург,48500,75000,https://hh.ru/vacancy/81407975,between1And3
Аналитик,Зеленоград,60000,,https://hh.ru/vacancy/84147620,between1And3
Аналитик проекта,Новокузнецк,80000,,https://hh.ru/vacancy/85009603,between1And3
Аналитик данных,Самара,70000,,https://hh.ru/vacancy/82504608,between1And3
Аналитик,Брянск,,50000,https://hh.ru/vacancy/84102594,between1And3
Аналитик (бизнес-аналитик/системный аналитик),Тольятти,80000,150000,https://hh.ru/vacancy/85117079,between1And3
Аналитик,Тюмень,33980,44174,https://hh.ru/vacancy/83395941,noExperience
Аналитик,Пермь,50000,70000,https://hh.ru/vacancy/84459450,between1And3
Маркетолог-аналитик,Самара,40000,60000,https://hh.ru/vacancy/84727353,noExperience
Аналитик,Ростов-на-Дону,35000,40000,https://hh.ru/vacancy/84444498,noExperience
Аналитик (Департамент эффективности),Екатеринбург,80000,,https://hh.ru/vacancy/85232645,between1And3
Аналитик,Санкт-Петербург,130000,,https://hh.ru/vacancy/84931813,between1And3
Аналитик Power BI,Москва,100000,150000,https://hh.ru/vacancy/83958460,between1And3
Младший аналитик,Москва,,50000,https://hh.ru/vacancy/85044053,noExperience
Ведущий аналитик бизнес-процессов,Красноярск,85462,156951,https://hh.ru/vacancy/83308269,between1And3
Инженер-аналитик,Москва,120000,140000,https://hh.ru/vacancy/85304550,between1And3
Аналитик,Чебоксары,97500,,https://hh.ru/vacancy/83338284,between1And3
Инженер-аналитик,Казань,,120000,https://hh.ru/vacancy/84688346,noExperience
Аналитик с фарм или мед образованием,Владивосток,70000,95000,https://hh.ru/vacancy/85223133,noExperience
Аналитик отдела продаж,Москва,138000,,https://hh.ru/vacancy/82566887,between1And3
Аналитик товародвижения,Санкт-Петербург,70000,,https://hh.ru/vacancy/85030763,noExperience
Менеджер по закупкам,Воронеж,30000,60000,https://hh.ru/vacancy/85187125,noExperience
Ведущий аналитик,Казань,60000,100000,https://hh.ru/vacancy/80037741,between1And3
Аналитик по снабжению,Волгоград,60000,80000,https://hh.ru/vacancy/85309093,between1And3
Аналитик упоминаний в соцсетях,Ижевск,39000,,https://hh.ru/vacancy/82145243,noExperience
"Аналитик данных (Excel, SQL)",Москва,100000,,https://hh.ru/vacancy/84275909,between3And6
Эксперт продаж в канале ипотека (аналитик excel),Москва,100000,,https://hh.ru/vacancy/84484831,between1And3
Аналитик данных,Москва,,80000,https://hh.ru/vacancy/84748859,noExperience
Аналитик упоминаний в соцсетях,Ярославль,39000,,https://hh.ru/vacancy/82145248,noExperience
